ingredients,recipe_name
bacon,Lasagna
bacon,Beef Bourguignon
basil,Caprese Salad
beef,Lasagna
beef,Beef Bourguignon
bread,Hamburger
bread,Lentil Burger
carrot,Lasagna
carrot,Beef Bourguignon
celery,Lasagna
celery,Beef Bourguignon
flour,Lentil Burger
flour,Beef Bourguignon
garlic,Lentil Burger
garlic,Beef Bourguignon
ketchup,Hamburger
lemon,Lentil Burger
lentils,Lentil Burger
letuce,Hamburger
mayo,Hamburger
miso,Lentil Burger
mozzerella,Caprese Salad
mushrooms,Lentil Burger
olive oil,Caprese Salad
onion,Lasagna
onion,Beef Bourguignon
parika,Lentil Burger
pickle,Hamburger
pickles,Lentil Burger
pork,Lasagna
tomato,Lasagna
tomato,Caprese Salad
wine,Lasagna
wine,Beef Bourguignon
yogurt,Lentil Burger
